tortured_phrase,expected_phrase,num_papers
"""Oneself principle at Home Show""",Independence At Home Demonstration (US healthcare),1
"""independent old enough, sex or calling""","irrespective of age, gender or profession",1
"""obsessive mind identification framework""",pathological brain detection system (PBDS),1
"""restorative embed communication benefit""",medical implant communication service,1
"""mean square goof""",mean square error,1
"""suggested innocuous stage""",recommended safe level,1
"""forbidden hunt"" AND ""Tabu""",Tabu search,1
"""manual or semi-robotized client subordinate techniques""",Supervised or semi-supervised ?,1
"""fenced in area System""",-,1
"""herbal speech condition""",natural speech condition,1
"""step-by-step residing""",activities of daily living (ADL),1
"""intergenic spacer district""",intergenic spacer region,1
"""frontal cortical local area""",neural network,1
"""secret word splash assault""",???,1
"""throwing a poll""",conducting an election,1
"""feathery reason""",fuzzy logic,1
"""power non uniformity (INU)""",Intensity Non-Uniformity (INU),1
"""minimum mandatory vitality""",minimum required energy,1
"""discharged conditioner""",modified activated carbon,1
"""half breed staggered""",hybrid multi-level,1
"""rotary neural network""",recurrent neural networks (RNN),1
"""feebly controlling property""",weakly guiding approximation,1
"""probabilistic thickness work""",probability density function,1
"""execution trust UTAUT""~10","performance expectancy, see https://en.wikipedia.org/wiki/Unified_theory_of_acceptance_and_use_of_technology",1
"""24-hour skyline""",24-hour horizon,1
"""voice replay ridiculing""",voice replay spoofing,1
"""illuding information""",misleading information,1
"""issue of inclination vanishing and blast""",vanishing gradient problem and exploding gradient problem,1
"""importance switch function""",transfer function,1
"""semisolid type of proficiency""",semi-strong form of efficiency,1
"""cinder electrode""",carbon electrode,1
"""irregular over-testing model""",Random Over-Sampling Examples (ROSE),1
"""convective cosiness""",convective heat,1
"""Assessed utility co-event pruning""",Estimated Utility Cooccurrence Pruning (EUCP),1
"""five-hitter greenhouse emission""",5% CO2,1
"""standard errors of the implies""",standard errors of the means (SEM),1
"""pre-educated multilingual fashion""",pre-trained multilingual model,1
"""inadequate self-considerations""",sparse self-attentions (machine learning technique),1
"""elector wellbeing""",voter welfare,1
"""discharged under earth""",released in the environment,1
"""narrow lactose mindedness""",lactose intolerance,1
"""supervised, semi-managed and solo""","supervised, semi-supervised and unsupervised [machine learning]",1
"""tolerable sticking""",tolerance threshold,1
"""travelling business person issue""",travelling salesman problem,1
"""bank chance administration""",bank risk management,1
"""lack of definition against picked ciphertext assaults""",INDistinguishability under Chosen Ciphertext Attack (IND-CCA),1
"""excessive-decision snapshot""",high-resolution snapshot,1
"""Brobdingnagian text""",large text,1
"""piss retention""",water retention,1
"""force weighted mean recurrence""",intensity weighted mean frequency,1
"""problems assistance developed transportable cloud""",Emergency Help Alert Mobile Cloud,1
"""moo misfortune of vitality""",low loss of energy (?),1
"""dynamic time misshaping""",Dynamic Time Warping (DTW),1
"""brain PC point of interaction""",brain-computer interface (BCI),1
"""discovery and acknowledgment of objects""",detection and recognition of objects,1
"""very particular isogeny Diffie-Hellman""",Supersingular Isogeny Diffie-Hellman (SIDH),1
"""semi-administered fluffy bunching""",semi-supervised fuzzy clustering,1
"""exergy catastrophe""",exergy destruction,1
"""compressive swing adsorption""",pressure swing adsorption,1
"""circulatory brain organization""",recurrent neural network,1
"""total get admission to time""",total access time (TAT),1
"""Hurst border""",Hurst parameter/exponent,1
"""citizens participate with the administration""",citizens interact with the administration,1
"""quick Fourier exchange""",fast Fourier transform (FFT),1
"""boost quality declaration""",promote quality research,1
"""prolonged brief-time period reminiscence""",long short-term memory (LSTM),1
"""weight manipulation plan""",diet,1
"""her tally touched base in the polling booth""",the vote reached the polling booth (?),1
"""secretion reduction"" AND ""emissions reduction""",emissions reduction,1
"""outspread base capacity organization""",radial basis function network (RBFN),1
"""period of time laptop vision""",real-time computer vision,1
"""close-by interpretable model-freethinker explanations""",local interpretable model-agnostic explanations,1
"""tainting length-mindful irregular woods""",infection-size-aware Random Forest,1
"""get-together the information into get-togethers""",grouping the information into groups,1
"""post-breaking elastic pressure""",post-cracking tensile stress,1
"""denial-of-advantage strike""",denial-of-service (DoS) attack,1
"""far flung temperature tracking""",remote temperature monitoring,1
"""machine gadgets get to control""",mobile device access control,1
"""data bias and mortification""",data bias and degradation,1
"""microbial gas telephone""",microbial fuel cell (MFC),1
"""breast malignancy revelation""",breast cancer diagnosis,1
"""versatile instructive substance proposal framework""",Adaptive Educational Content Recommendation System (AECRS),1
"""decrease of fruitfulness""",decrease in fertility,1
"""Data server job (DSR)""",(?),1
"""a single-cloud to multi-mist""",a single-cloud to multi-cloud,1
"""tankage device""",storage device,1
"""prognosticate the unborn fee""",???,1
"""poisonous quality of the blend""",toxic effects,1
"""Mel Frequency Crystal Coefficients""",Mel Frequency Cepstral Coefficients (MFCCs),1
"""seen value"" AND ""perceived use""",Perceived Use (PU),1
"""monstrous machine type communication""",massive machine type communication (mMTC),1
"""boa constrictor bundle""",Python module,1
"""fast chronic contrastive divergence""",Fast Persistent Contrastive Divergence (FPCD),1
"""unearthly and cepstral""",spectral and cepstral,1
"""appropriated regulate""",distributed control,1
"""reckless to perusing""",visually impaired (?),1
"""arbitrary decision woodland""",random decision forest,1
"""container of a humanoid""",chest (body part) of a human,1
"""grumbled of serious agony""",complained of severe pain,1
"""agony prescription""",???,1
"""goof area""",error region,1
"""Georgia home boy pooling""",max pooling,1
"""solid control (HC)""",healthy control (HC) [subjects],1
"""Dow Jones Modern Normal File""",Dow Jones Industrial Average Index,1
"""coffee-electricity adaptive clustering hierarchy""",Low Energy Adaptive Clustering Hierarchy,1
"""Nook category (CC)""",Corner classification (CC),1
"""unearthly closeness""",spectral similarity,1
"""sound collection based on content""",content-based audio retrieval,1
"""precision (ACC), qualification (SPE), and affectability (SEN)""","accuracy (ACC), specificity (SPE) and sensitivity (SEN)",1
"""deep transfer studying""",deep transfer learning,1
"""administrative pre preparing""",supervised pre-training,1
"""Isaac Newton's subsequent law""",Newton's second law states,1
"""high-measurement highlight vector""",high-dimensional feature vector,1
"""Holt-wintry weather""",Holt-Winters,1
"""unaided portrayal learning""",unsupervised feature learning,1
"""cross-breed fake bits of data calculation""",hybrid artificial intelligence algorithm,1
"""electrochemical recurrence balance""",electrochemical frequency modulation (EFM),1
"""dilated causal remaining CNN""",dilated causal residual CNN (neural network),1
"""PCA brightened""",PCA whitened,1
"""CRISPR initiation or CRISPRa""",CRISPR activation or CRISPRa,1
"""gathering key controller""",trusted key centre (TKC),1
"""manufactured neural system nonlinear autoregressive""",Backpropagation neural network Nonlinear Autoregressive (BPNN-NAR),1
"""intuitive numerous model""",interactive multiple model (IMM),1
"""feathery deduction""",fuzzy deduction,1
"""pulverized by growth pollution""",environmental degradation,1
"""restorative flag preparing""",medical signal processing,1
"""single style fiber""",single mode fiber (SMF),1
"""dielectric disaster""",dielectric breakdown,1
"""Quicker Area based Convolutional Brain Organizations""",Faster Region-based Convolution Neural Network (Faster R-CNN),1
"""territory under the accuracy review""",area under the precision-recall (curve),1
"""reflection-enhancement assault""",reflection/amplification attack,1
"""kind prostatic hyperplasia""",Benign Prostatic Hyperplasia (BPH),1
"""Secret word Authenticated Key Trade""",Password Authenticated Key Exchange (PAKE),1
"""helpless normal mode concealment""",poor common-mode suppression,1
"""speech gathering limit""",speech reception threshold (SRT),1
"""versatile order channel back""",adaptive command filtered backstepping (ACFB),1
"""anticipated cross-entropy""",expected cross entropy (ECE),1
"""enlist casting a ballot""",register votes,1
"""lung canker""",lung cancer,1
"""pre-getting ready methodologies""",pre-training methodologies,1
"""very gigantic influence""",major influence,1
"""enrolling electors""",registering voters,1
"""grime moisture degree""",soil moisture level,1
"""Intrauterine Gadgets (IUD)""",Intrauterine Devices (IUD),1
"""automatic speech acceptance""",automatic speech recognition (ASR),1
"""ransomware location and assurance""",ransomware detection and classification,1
"""PC helped demonstrating""",Computer-aided modeling,1
"""least vast bit""",least significant bit (LSB),1
"""superior grid scale""",optimal grid scale,1
"""assault passage focuses""",attack entry,1
"""proper condemnation convention""",???,1
"""coordinated closeness document""",structural similarity index,1
"""kick the bucket cast""",die cast,1
"""Bluetooth Moo Essentialness""",Bluetooth Low Energy,1
"""focus key ambassador""",trusted key centre (TKC),1
"""Prophet 11g""",Oracle 11g,1
"""acknowledge mastercard irregularities""",detect Mastercard anomalies,1
"""RR stretch sign""",RR-interval signal,1
"""watch hop process""",watch jump process,1
"""shrewd FinTech""",smart FinTech,1
"""Broadened Basis Function""",Radial Basis Function (RBF),1
"""existing ID draws near""",existing identification approaches,1
"""anticipate protest esteems""","?? (\""predict object(?) values\""?)",1
"""enormous preparing artificial neural networks""",Massive-Training Artificial Neural Network (MTANN),1
"""innumerable client grouping""",???,1
"""guidance set architecture""",instruction set architecture (ISA),1
"""to nibble people""",to bite people,1
"""theme co-event grid""",Motif Co-occurrence Matrix (MCM),1
"""global situating context""",global positioning system (GPS),1
"""recreated toughening and hereditary calculation""",simulated annealing genetic algorithm (SA-GA),1
"""photovoltaic-based board squander""",photovoltaic panel waste,1
"""front-stop windowing""",front-end windowing,1
"""bi-random stroll""",bi-random walk,1
"""steel-herbal frameworks""",metal-organic frameworks,1
"""pity propensity""",depression,1
"""delicate attractive"" AND ""soft magnetic""",soft magnetic,1
"""Greeting Matching Matrix""",Grey-Level Co-Occurrence Matrix,1
"""sovereign experiments"" AND ""independent experiments""",independent experiments,1
"""counterfeit neural system nonlinear autoregressive moving normal""",Backpropagation neural network Nonlinear Autoregressive Moving-average (BPNN-NARMA),1
"""certiwiwireless""",certification,1
"""Inert Dirichlet Designation""",Latent Dirichlet Allocation,1
"""dietetic roughage""",dietary fiber,1
"""intellectual stretch tiers""",mental stress levels,1
"""quiet part evacuation""",silence removal,1
"""infiltration system (IDS)""",intrusion detection system (IDS),1
"""unquestionable speculation test""",statistical hypothesis test (?),1
"""creation 4.zero""",construction 4.0,1
"""weighted respective channel""",weighted bilateral filter,1
"""quite right privacy""",pretty good privacy (PGP),1
"""malevolent help""",malware (?),1
"""anti-angering""",anti-inflammation,1
"""profound guide getting to know""",deep reinforcement learning,1
"""electronic mode wellbeing record""",electronic health record (EHR),1
"""pleasing reverberation imaging""",magnetic resonance imaging (MRI),1
"""duskiness enrolling""",fog computing,1
"""unresistant assault""",passive attack,1
"""Purplish blue A4m""",Azure A4m,1
"""slither personal property""",slip effect,1
"""little bunch size""",batch size (of training data),1
"""mind utilitarian attractive reverberation imaging""",Functional magnetic resonance imaging (fMRI),1
"""Google documenting system""",Google File System (GFS),1
"""exact what's more strong classifier""",best performing classifier,1
"""exertion mindful without a moment to spare defect prediction""",effort-aware just-in-time defect prediction,1
"""time recurrence affiliation""",time frequency representation,1
"""numerous classes grouping""",multi-class classification,1
"""managed order technique""",supervised classification technique,1
"""half and half AI strategy""",hybrid AI strategy,1
"""worldwide hyper boundaries""",global hyperparameters,1
"""residents’ living and workplaces""",???,1
"""straight fleeting rationale""",Linear Temporal Logic (LTL),1
"""Inferable from the nearness of the principle chain""",surrounding of the main chain (???),1
"""meta-getting the hang of""",meta-learning,1
"""neuro-feathery structure""",neuro-fuzzy system,1
"""pressure phantom thickness""",power spectral density (PSD),1
"""sigmoid initiation trademark""",sigmoid activation function,1
"""multi-moulded preparing""",multiconditioned training,1
"""old-style signal strength""",received signal strength,1
"""manufactured minority over-inspecting strategy""",Synthetic Minority Over-sampling TEchnique (SMOTE),1
"""exertion mindful in the nick of time imperfection forecast""",effort-aware just-in-time defect prediction,1
"""supportable force useses""",renewable energy consumption,1
"""ethereal sensor""",remote sensor,1
"""massive measure of unstructured information""",Large amounts of data,1
"""convectively warmed tricky extending sheet""",convective heat transfer and surface expansion ?,1
"""ailment wretchedness""",severe disease,1
"""Unit Determination Voice""",Unit selection voice,1
"""wirelessngerprints""",fingerprints,1
"""worthy creature protein""",animal protein,1
"""Government clinical thought""",Medicare,1
"""median outright error""",mean squared error (MSE),1
"""discipline pushed account""",patient centered care,1
"""Trial of English for Worldwide Interchanges""",Test of English for International Communication (TOEIC),1
"""temperamental regular convection""",unsteady? natural convection,1
"""generalized incline approximation""",generalized gradient approximation,1
"""confront, iris, finger, palm""","face, iris, finger, palm",1
"""exodermal obstruction""",exodermal barrier,1
"""pillar framing"" AND ""multi-channel""",beamforming,1
"""up-sides accurately grouped""",(number of) positives correctly classified (i.e. True Positives),1
"""legitimate positive rate""",true positive rate (TPR),1
"""complex exchange quality""",gene responsible for conjugative transfer,1
"""new distinguish catalyst""",new advanced catalyst,1
"""course of action of computations""",???,1
"""3-manner handshaking""",3-way handshaking,1
"""technique of auxiliary coordinates""",Method of Auxiliary Coordinates (MAC),1
"""idea transfer getting to know""",transfer learning,1
"""acoustic mutilating conditions""",acoustic distorting conditions,1
"""sort of a dairy creatures""",cattle breed,1
"""mechanical guerilla""",industrial revolution,1
"""clamor remaining""",noise residual,1
"""similar factual dissemination""",intelligence information dissemination (IID),1
"""charm disturbance""",???,1
"""spot decline"" AND ""despeckling""",speckle reduction,1
"""center key controller""",trusted key centre (TKC),1
"""luminance/chominance""",Luminance-Chrominance (Y'UV),1
"""diminishing angle issue""",vanishing gradient problem,1
"""scratched triangular resonator""",etched triangular resonator,1
"""chaotic dot matrix""",confusion matrix,1
"""microwave consolidated circuit innovation""",microwave integrated circuit technology,1
"""speech condonation""",speech recognition,1
"""Packaged Remuneration for Care Update Initiative""",Bundled Payments for Care Improvement Initiative (US healthcare),1
"""aqua/dissolvable collaboration""",water-soluble compound,1
"""dazzle source partition""",blind source separation,1
"""usually least squares (OLS)""",ordinary least squares (OLS),1
"""formalin-fixed paraffin-inserted""",Formalin-Fixed Paraffin-Embedded (FFPE),1
"""cause them their life""",cost them their life,1
"""gooey parameters""",viscous parameters(?),1
"""free hard cut space""",free hard drive space,1
"""phony space lab""",Fake Space Lab,1
"""root imply rectangular blunders""",root mean squared error (RMSE),1
"""fluid compelling thickness""",fluid density,1
"""decay of wavelet bundle""",wavelet packet decomposition,1
"""mental misery conditions""",mental health conditions,1
"""livestock oil and pets fat""",animal oil and fats,1
"""Disease of the Nasal Hole""",???,1
"""herbal size pix""",natural size image,1
"""key dissemination administrator""",key delivery message (KDM),1
"""medicinal indicator networks""",medical sensor networks,1
"""unfastened floor""",free surface,1
"""text-subordinate frameworks""",text-dependent systems (for speaker recognition),1
"""debased in wonderful""",degraded in quality,1
"""factshungry""",data-hungry,1
"""clinical record taking care of""",medical data management,1
"""Anderson Dear Test""",Anderson-Darling Test,1
"""vacuum plasma shower""",vacuum plasma spraying,1
"""versatile instructive substance suggestion framework""",Adaptive Educational Content Recommendation System (AECRS),1
"""swarm optimized mechanism""",Particle Swarm Optimization (PSO),1
"""novel versatile decreased class steady portion extraordinary learning machine""",adaptive reduced class incremental kernel extreme learning machine (ARCIKELM),1
"""faux creativeness associations""",artificial neural networks,1
"""reparable irresistible ailment""",curable infectious disease,1
"""cross breed diode""",hybrid diode,1
"""shoot them to the stoner""",???,1
"""rationale cell cluster""",Logic Cell Array (LCA),1
"""carnivorous epidemics""",covid epidemics,1
"""summed up straight blended model""",Generalized Linear Mixed Model (GLMM),1
"""straightly detachable information""",linearly separable data,1
"""hankies of the breast""",breast tissue,1
"""underground creepy crawly region""",ant colony,1
"""bespoke point engineering""",custom/hand-crafted feature engineering,1
"""selective component packaging""",exclusive feature bundling (EFB),1
"""authoritative connection examination""",canonical correlation analysis (CCA),1
"""pre- and post-handling"" AND ""pre- and post-processing""",pre- and post-processing,1
"""hairy participation""",fuzzy membership,1
"""otherworldly figuring""",spectral analysis (?),1
"""relative unconditional error""",relative absolute error (RAE),1
"""cloud benefit focuses""",cloud service centers,1
"""widened causal surplus CNN""",dilated causal residual CNN (neural network),1
"""animadversion article""",review article,1
"""plate warmness trading""",plate heat exchange,1
"""guide record series""",manual data collection,1
"""force quality (PQ)""",power quality (PQ),1
"""twenty initial century""",twenty-first century,1
"""Pd's victim sound sign""",PD (Parkinson's disease) patient's sound signal?,1
"""media line's hand module""",MediaPipe Hands module,1
"""impression of emanated transport emission""",effect of transport emissions,1
"""SFRC radiate""",SFRC beam,1
"""value conjectures"" AND ""price forecasts""",price forecasts,1
"""area of letters in order acknowledgment""",alphabet recognition,1
"""shading histogram for K-mean""",Color Histogram for K-Mean (CHKM),1
"""vector mistake amendment strategy""",vector error correction model (VECM),1
"""Gaussian mild beat""",Gaussian light pulse,1
"""yet utilizing the comparing functionalized homopolymers""",but using the corresponding functionalized homopolymers,1
"""half breed user""",hybrid user,1
"""astuteness teeth""",wisdom teeth,1
"""variation from the norm confinement""",abnormality localization,1
"""discourse division"" AND ""speech separation""",speech separation,1
"""retinal space square""",retinal area (?),1
"""organization based intrusion development system""",network intrusion detection system (NIDS),1
"""in vehicle board framework""",in-vehicle system,1
"""Pay unique personality""",???,1
"""precise, precise, retractable and F measurements""","accuracy, precision, recall and F-measure",1
"""stagnation guide stream""",stagnant flow,1
"""to aqueduct the knowledge gaps""",to fill the knowledge gaps,1
"""confluenced virtual""",combined virtual,1
"""multivariate flexible backslide spline""",multivariate adaptive regression splines (MARS),1
"""Yank Airlines""",American Airlines,1
"""numerous zones country""",???,1
"""empowering conditions UTAUT""~10","facilitating conditions, see https://en.wikipedia.org/wiki/Unified_theory_of_acceptance_and_use_of_technology",1
"""touchy purchaser facts""",sensitive customer/user data,1
"""fleecy ID3 tree""",fuzzy ID3 (decision) tree,1
"""three actual tomahawks""","three physical axes (x, y, and z)",1
"""nosy ductal carcinoma""",Invasive Ductal Carcinoma (IDC),1
"""versatile instructive hypermedia framework""",Adaptive Educational eLearning System,1
"""recurrence subordinate dielectric steady""",frequency-dependent dielectric constant,1
"""alpha unwinding locale""",alpha-relaxation region,1
"""vitality procuring""",energy harvesting,1
"""Potentials Affecting the Event""",event-related potentials (ERP),1
"""breeze speed profile""",wind speed profile,1
"""auup-todatemation""",automation,1
"""one year secluded""",one year apart,1
"""Hann capability""",Hann [window] function,1
"""scattered denial of-advantage strike""",distributed denial-of-service (DDoS) attack,1
"""hereditary enhancer""",genetic optimizer (genetic algorithm),1
"""multi-role Perroak""",multi-layer perceptron (MLP),1
"""clashing woodland region assessment""",clashing forest region identification (?),1
"""lively energy image""",active energy image,1
"""book subordinate voice awareness gadget""",text-dependent voice recognition system,1
"""Branch of Veterans Issues""",Department of Veterans' Affairs (VA),1
"""arched dialects""",inflected (or declined) languages,1
"""insightful ordered progression process""",analytic hierarchic process (AHP),1
"""peevish gut condition""",irritable bowels syndrome,1
"""planning and testing correctness""",training and testing accuracy,1
"""unsupervised characteristic studying""",unsupervised feature learning and compression with auto-encoders,1
"""lower unstable breaking point""",Lower Explosive Limit (LEL),1
"""worldwide pores and skin imaging collaboration""",International Skin Imaging Collaboration (ISIC),1
"""distinctive tongue arrangement""",natural language processing,1
"""social building techniques""",social engineering (attack),1
"""misfortune of dream""",loss of vision,1
"""half breed organize structures""",hybrid (neural) network models/architectures,1
"""unaided word installing""",unsupervised word embedding,1
"""Chemical Substitution Treatment (HRT)""",Hormone Replacement Therapy (HRT),1
"""hereditary data of the phone""",genetic information of the cell,1
"""focal and fringe nervous system""","Central and Peripheral Nervous System (CNS, PNS)",1
"""in multitudinous words""",in other words,1
"""ghastly list of capabilities""",spectral feature set,1
"""Bayesian aggregate govern""",Bayesian aggregation rule,1
"""precious stones of a protein""",protein corona,1
"""comestible corroboration""",food recognition,1
"""dynamic prevailing shading (DDC)""",(?),1
"""electricity spectrogram""",power spectrogram,1
"""unprejudiced popularity""",unbiaised,1
"""correct popularity rate""",true positive rate,1
"""slanting covariance framework""",diagonal covariance matrix,1
"""children cross lacking""",children go missing,1
"""transcribed textual content acknowledgment""",handwritten text recognition,1
"""head half investigation""",Principal Component Analysis (PCA),1
"""moo mechanical quality""",low mechanical strength,1
"""area monetary new development""",local economic development (LED),1
"""monochrome of coordination skew""",histogram of oriented gradiants (HOG),1
"""Relationship for Clinical advantages Examination and Quality""",Agency for Healthcare Research and Quality (AHRQ) (US healthcare),1
"""National Establishing of successfulness""",National Institutes of Health,1
"""store unit aqueduct""",byte stream,1
"""Courtroom Of The European Association (CJEU)""",Court Of Justice Of The European Union (CJEU),1
"""affiliation misfortunes""",association losses,1
"""lazy dirichlet allocation""",Latent Dirichlet Allocation (LDA),1
"""Principal skewness investigation""",Principal Skewness Analysis (PSA),1
"""linear back vector classifier""",Linear Support Vector Classifier (LinearSVC),1
"""sign commotion extent""",signal-to-noise ratio (SNR),1
"""watched occasion encoding""",observation vector,1
"""particular ongoing video conferencing climate (RVCE)""",??? (found in 10.1155/2022/8280468),1
"""distinct motion retread""",discrete wavelet transform (DWT),1
"""suppress the proliferation of germs""",bacterial growth inhibition,1
"""sickle cell pallor""",sickle cell anemia,1
"""eager layer-wise preparing""",greedy layer-wise training,1
"""NLP (typical lingo taking care of)""",NLP (natural language processing),1
"""lopsided computerized supporter line""",Asymmetric digital subscriber line (ADSL),1
"""attractive asset imaging""",magnetic resonance imaging (MRI),1
"""chemically dynamic destinations""",catalytically active sites,1
"""remarkable list of capabilities""",unique list of characteristics,1
"""77-rate exactness""",77 percent accuracy,1
"""the arrangements were filled in a crystal form""",the solutions were poured into a glass beaker,1
"""angle upgraded trees""",gradient boosted trees,1
"""teach timing and teach put off""",???,1
"""Outside Accented English""",Foreign Accented English dataset,1
"""friendly and inventive industry""",creative and cultural industry (CCI),1
"""coating impetus substance vapor testimony""",Floating catalyst chemical vapor deposition,1
"""rich unearthly data""",???,1
"""moo warm conductivity""",low heat conductivity,1
"""choice sensitively empathetic network""",decision support system (DSS),1
"""head fragment examination""",principal component analysis (PCA),1
"""various block extents""",different block lengths,1
"""Dulbecco’s altered falcon medium""",Dulbecco Modified Eagle’s Medium (DMEM),1
"""gated repetitive network""",gated recurrent unit (GRU),1
"""mechanical bungle""",mechanical failure,1
"""Copy III"" AND ""MIMIC-III""",MIMIC-III,1
"""diminishing global harbor resources (DGN)""",(?),1
"""Worldwide Money Related Asset (IMF)""",International Monetary Fund (IMF),1
"""Typical Variation Removed (AVE)""",Average variance extracted (AVE),1
"""ribosomal RNA little subunit""",ribosomal RNA small subunit,1
"""you most effective appearance once""",you only LOOK once (YOLO),1
"""closest component line (NFL)""",nearest feature line (NFL),1
"""large psyche association""",deep neural network (?),1
"""Gregorian calendar month one""",January,1
"""venue movement encryption key (CTEK)""",??? (found in 10.1155/2022/6000375),1
"""additional cell authoritative""",extra-cell binding,1
"""lower-pay economies""",lower-income countries,1
"""covering grounded highlights choice""",wrapper-based feature selection,1
"""elector clog""",polling place congestion,1
"""squatness of inhalation""",shortness of breath,1
"""Jupyter Diary frames""",Jupyter Notebook,1
"""symmetrical recurrence multiple access""",Orthogonal frequency-division multiplexing (OFDM),1
"""negatives erroneously ordered""",(number of) negatives incorrectly classified (i.e. False Positives),1
"""wide range antitoxins""",broad-range antibiotics,1
"""book free voice mindfulness framework""",text-independent voice recognition system,1
"""sure diploma of accuracy""",certain degree of accuracy,1
"""tumultuous salp swarm""",chaotic salp swarm algorithm (CSSA),1
"""discourse just interfaces""",speech-only interfaces (?),1
"""avoidance is better than fix""",prevention is better than cure,1
"""first-demand point plunge computation""",first-order gradient descent algorithm,1
"""superior processing (HPC) machines""",High Performance Computing,1
"""affirmation of traffic signs""",traffic sign recognition,1
"""dazzle cross-site scripting assaults""",blind cross-site scripting attacks,1
"""communication with natural material""",interaction with natural material,1
"""fascination spectra""",absorption spectra,1
"""CMS medical clinic without walls""",Hospital Without Walls (CMS program),1
"""propelled driver associate frameworks""",advanced driver-assistance systems,1
"""unique mystery coating""",hidden layer,1
"""naturally clergyman game features""",automatically curate game highlights ?,1
"""herbal human chat""",???,1
"""St Nick Fe Foundation""",Santa Fe Institute,1
"""attentive on the way""",???,1
"""Gaussian cycle connector""",Gaussian process adapter,1
"""targeting and controlled discharge""",targeted and controlled release,1
"""uninterrupted health care expense""",continuos health care expense,1
"""wise versatile terminals""",smart mobile devices (?),1
"""attention-deficit hyperactivity confusion""",Attention-deficit hyperactivity disorder (ADHD),1
"""RNA–DNA acknowledgement""",RNA–DNA complementarity?,1
"""proliferation course misfortune""",propagation path loss,1
"""nearness of Violent""",???,1
"""Location Goal Convention""",Address Resolution Protocol (ARP) spoofing,1
"""erudite and commerce distributions""",trade in knowledge,1
"""Command along with Authority""",Command and Control (C&C),1
"""humanity growth gauge""",Human Development Index,1
"""auto acquainted systems""",auto associative networks,1
"""consideration shortage hyperactivity jumble""",attention deficit hyperactivity disorder (ADHD),1
"""ellipse shaped bend""",elliptic-curve cryptography,1
"""human-gadget engagement""",human-machine interaction (HMI),1
"""hydrogen security benefactor""",Hydrogen Bond Donor,1
"""neurotic cluttered""",Abnormal noisy ?,1
"""bulky disordered portions""",[proteins with] long disordered segments (in the context of Intrinsically disordered proteins),1
"""South Asian Local Cooperation""",South Asian Association for Regional Cooperation (SAARC),1
"""outwardly powerless individuals""",visually impaired individuals,1
"""mawkishness scrutiny""",sentiment analysis,1
"""prognosis remedy of sickness""",???,1
"""irritated and watch""",perturb and observe,1
"""ribosomal RNA huge subunit""",ribosomal RNA large subunit,1
"""phenol-sulfuric acid manner""",phenol-sulfuric acid method (or phenol-sulfuric acid assay),1
"""Little and medium endeavors (UMKMs)""","Micro, Small, and Medium Enterprises (UMKMs)",1
"""worldwide telecommunication association""",International Telecommunication Union,1
"""encourage vector machine""",support vector machine (SVM),1
"""Tobacco shake infection""",Tobacco rattle virus (TRV),1
"""top-notch mouthpiece""",high-quality microphone,1
"""straightly indivisible information""",linearly non-separable data,1
"""Teager vitality administrator""",Teager-Kaiser energy operator,1
"""shrewd loaning""",smart lending,1
"""regular intestinal irritation""",chronic intestinal inflammation,1
"""country wide Basketball association""",National Basketball Association (NBA),1
"""naive Bayes relation based with highlight subset""",Correlation-based feature selection naïve Bayes (CFS-NB),1
"""contrast-limited versatile histogram equalization""",Contrast-limited adaptive histogram equalization (CLAHE),1
"""irregular number era""",random number generation,1
"""unmistakable phyla""",distinct phyla,1
"""gigantic layered space""",large dimensional space,1
"""frontal cortex local area""",neural network,1
"""multiorgan disenchantment""",multiorgan failure,1
"""dissemination of development theory""",diffusion of innovation theory,1
"""erasure blunders""",deletion errors,1
"""exergy mishap""",exergy loss,1
"""furry registration work""",fuzzy membership function,1
"""Synthetic Intelligence of Factors""",Artificial intelligence if things (AIoT),1
"""rack capacity life""",shelf life,1
"""over-communicated"" AND ""over-expressed""",over-expressed,1
"""hydroxycinnamic destructive""",???,1
"""integrated interest reaction""",integrated demand response (IDR),1
"""soft casting a ballot""",soft voting,1
"""temporal and spatial stacked car encoder""",Temporal and Spatial Stacked Autoencoder (TSSAE),1
"""photonic amazingly""",photonic crystal,1
"""composing tests forthright""",writing tests upfront,1
"""dexterous observe""",smart watch,1
"""chitosan mixed alginate lattice""",chitosan blended alginate matrix (CBAM),1
"""interfere with the spot structure""",intrusion detection system,1
"""affectability on light""",light sensitivity,1
"""otherworldly spreading""",spectral expansion(?),1
"""constant joining and testing""",continuous integration and testing,1
"""part preferring field""",Part-Affinity-Field (PAF),1
"""piddling pattern""",insignificant pattern,1
"""self-figuring out maps""",self-organizing maps,1
"""directed and unaided realization""",supervised and unsupervised [machine] learning,1
"""tremendous novel community""",???,1
"""fragmented virus start""",incomplete cold start (ICS),1
"""sustenance forward framework""",feed-forward layer,1
"""half breed join""",hybrid join,1
"""order sending ways of behaving""",command forwarding behaviors,1
"""complete mistake likelihood""",total [classification] error probability,1
"""protracted brief timeframe period memory (LSTM)""",long short-term memory (LSTM),1
"""voice growth cases""",larynx cancer,1
"""assistance vector contraption""",support vector machine,1
"""tungstic corrosive""",tungstic acid,1
"""beneath lifted weight""",under elevated pressure,1
"""web website seek""",internet website search,1
"""free supervector speaker""",speaker-independent supervector,1
"""neuro-tender""",neuro-fuzzy,1
"""visible region connectivity""",visible light communication,1
"""ad hoc request separate vector""",Ad hoc On-Demand Distance Vector (AODV),1
